Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:50:10.589,WT901BLE68(d8:09:5a:ca:b6:e0), 1.019, 0.747, 0.559, 8.301, 103.516, -25.818, 123.975, 0.758, -80.502, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.682,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.036, 0.155, 0.03, 11.169, -8.423, -25.574, 88.753, -81.442, 91.417, -6.272, -35.574, -0.196, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.712,WT901BLE68(d8:09:5a:ca:b6:e0), 0.977, 0.782, 0.333, -31.677, 29.175, -17.7, 121.608, 4.73, -77.964, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.745,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.095, 0.195, -0.04, 5.859, -8.362, -41.565, 95.702, -78.36, 85.534, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.770,WT901BLE68(d8:09:5a:ca:b6:e0), 0.931, 0.98, 1.307, -11.047, -58.167, 23.682, 121.602, 0.928, -80.376, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.861,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.282, 0.188, -0.005, 10.071, -5.798, -56.946, 97.097, -74.147, 84.254, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.919,WT901BLE68(d8:09:5a:ca:b6:e0), 0.906, 0.939, 1.092, -11.23, -76.66, 2.808, 122.212, -6.592, -84.836, -52.234, 37.436, 43.708, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.951,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.467, 0.153, 0.05, -8.789, -15.015, -120.3, 96.372, -66.154, 85.798, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.980,WT901BLE68(d8:09:5a:ca:b6:e0), 0.943, 0.964, 0.965, -9.155, -53.894, 0.854, 123.772, -11.552, -90.247, -52.234, 37.436, 43.708, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:11.072,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.283, 0.328, -0.246, -1.343, 32.288, -221.313, 93.708, -49.548, 87.66, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.099,WT901BLE68(d8:09:5a:ca:b6:e0), 0.942, 0.993, 0.953, 5.859, -18.372, -5.615, 125.843, -13.348, -93.472, -52.234, 37.436, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.163,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.653, -0.396, -0.017, -105.774, -7.385, 88.44, 86.748, -45.593, 87.77, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.189,WT901BLE68(d8:09:5a:ca:b6:e0), 0.907, 1.001, 0.967, 13.794, -8.484, 0.854, 126.81, -13.7, -94.12, -52.234, 37.436, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.282,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.539, -0.091, 0.021, -3.418, -11.902, 233.643, 79.557, -64.215, 91.011, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
